ID,Tipo de habitación,Título,Tipología,Ciudad,Localización,Municipio,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
0843487197621822883,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,150,150,,,1,1,1,
0000000000045966793,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,200,185,192,4.72,60,3,5,4,6
0965841203409141231,"Habitación en Badalona, España",Habitación,Habitación,Barcelona,,Badalona,60,60,60,,,1,1,1,
0000000000003535864,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,650,650,,,1,1,3,5
0000000000024137919,,,nan,Barcelona,,,92,,92,,,,1,,
1005929017686590019,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,50,50,50,4.7,10,1,1,1,
0000000000017151410,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,319,257,288,4.77,202,1,1,1,2
1104945706027523112,"Habitación en L'Hospitalet de Llobregat, España",Habitación,Habitación,Barcelona,,LHospitalet de Llobregat,,37,37,4.86,14,1,1,1,
0000000000003879178,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,,,4.23,134,1,1,1,
0965420836964127441,"Alojamiento entero: vivienda en Santa Coloma de Gramenet, España",Alojamiento entero,Alojamiento,Barcelona,,Santa Coloma de Gramenet,,120,120,,1,1,1,2,4
0629321625066354466,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,473,348,410,4.78,74,2,2,2,5
0855080951167273810,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,153,145,149,4.46,39,1,1,,
0000000000042782234,"Alojamiento entero: casa de invitados en Caldes de Montbui, España",Alojamiento entero,Alojamiento,Barcelona,,Caldes de Montbui,,55,55,,,1,1,2,2
0554886293937435955,"Barco en Sant Adrià de Besòs, España",Barco,Barco,Barcelona,,Sant Adri de Bess,,120,120,,,1,1,2,3
1099721412168905834,"Alojamiento entero: vivienda en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,500,500,,,5,2,,6
1067431534499616186,,,nan,Barcelona,,,,,,,,,1,,
0596766439801829075,"Habitación en Martorell, España",Habitación,Habitación,Barcelona,,Martorell,35,32,34,,2,1,1,1,
0000000000003942375,,,nan,Barcelona,,,,,,,,,1,,
0000000000045274367,"Alojamiento entero: casa de invitados en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,81,81,4.94,221,1,1,3,5
0000000000037418264,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,,,3.33,3,2,1,2,
0000000000007126414,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,289,242,266,4.4,43,1,1,1,4
0000000000033688320,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,,,2,1,2,2
0000000000013079087,"Alojamiento entero: vivienda en Montcada i Reixac, España",Alojamiento entero,Alojamiento,Barcelona,,Montcada i Reixac,,,,4.68,168,2,1,3,4
0000000000019516555,"Alojamiento entero: piso en Badalona, España",Alojamiento entero,Alojamiento,Barcelona,,Badalona,,175,175,4.73,141,2,1,4,6
0958388067939990789,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,,1,1,1,,2
1106437543785641970,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,88,,88,,,0,1,,
0929761800436440986,"Habitación en Santa Coloma de Gramenet, España",Habitación,Habitación,Barcelona,,Santa Coloma de Gramenet,99,99,99,4.77,22,1,1,2,
0602465982075695391,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,,,3,1,3,4
0000000000001102856,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,165,59,112,,,2,1,3,4
0878658347316285621,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,232,321,276,4.82,138,1,1,1,2
0872548034802093278,"Alojamiento entero: adosado en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,183,183,,2,1,1,,7
0000000000001284165,"Habitación privada en: casa de invitados en Barcelona, España",Habitación privada en,Habitación,Barcelona,,Barcelona,68,62,65,4.7,75,1,1,1,2
0798641034129232387,"Alojamiento entero: suite con entrada independiente en Santa Coloma de Gramenet, España",Alojamiento entero,Alojamiento,Barcelona,,Santa Coloma de Gramenet,,125,125,4.86,49,1,1,2,4
0000000000050116709,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,,,,,1,1,1,
0000000000029119342,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,153,153,4.49,218,3,1,3,4
0889657872239337218,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,,,,,1,1,,
0000000000052360287,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,388,430,409,4.79,57,2,1,3,5
0749093760924544119,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.4,10,2,1,3,2
0000000000006659629,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,450,,450,,,4,2,6,6
0000000000000973013,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.61,187,1,1,2,3
1060132261491790676,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,,2,3,2,3,4
0000000000001112838,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,180,180,4.73,178,3,2,4,6
0000000000038418183,"Alojamiento entero: casa rural en La Garriga, España",Alojamiento entero,Alojamiento,Barcelona,,La Garriga,,190,190,,,3,2,6,8
0000000000000742241,,,nan,Barcelona,,,,,,,,,1,,
0000000000045217774,"Alojamiento entero: piso en Pineda de Mar, España",Alojamiento entero,Alojamiento,Barcelona,,Pineda de Mar,,49,49,,,1,1,1,2
1122240524365750170,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,5.0,3,2,1,2,4
0000000000034934964,"Alojamiento entero: suite con entrada independiente en Sant Cugat del Vallès, España",Alojamiento entero,Alojamiento,Barcelona,,Sant Cugat del Valls,,,,,,1,1,4,2
1039688765647379723,"Habitación en Rubí, España",Habitación,Habitación,Barcelona,,Rub,58,58,58,,1,1,1,,
0000000000029879141,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.77,127,4,1,4,5
0633838670887844068,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,452,330,391,4.59,49,2,2,2,4
0706586625049971837,"Alojamiento entero: piso en L'Hospitalet de Llobregat, España",Alojamiento entero,Alojamiento,Barcelona,,LHospitalet de Llobregat,,,,4.89,66,1,1,4,4
0910056226436701072,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,60,60,60,,,1,1,1,
0000000000052360380,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,236,287,262,4.7,84,1,1,1,2
0000000000021653693,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.85,143,1,1,3,4
0000000000039719348,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,389,389,389,,,1,1,2,2
0000000000002069105,"Alojamiento entero: loft en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,226,343,284,4.46,134,1,1,2,2
0000000000000743612,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,400,400,,,2,1,4,7
1113106280885491432,"Habitación en Badalona, España",Habitación,Habitación,Barcelona,,Badalona,60,60,60,,2,1,1,1,
1136030647689014350,"Habitación en Sant Boi de Llobregat, España",Habitación,Habitación,Barcelona,,Sant Boi de Llobregat,,,,,,1,1,2,
0000000000001505984,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.64,50,3,1,3,4
1126613779447054663,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,270,260,265,5.0,5,1,1,4,4
0000000000049680586,"Alojamiento entero: vivienda en Montgat, España",Alojamiento entero,Alojamiento,Barcelona,,Montgat,,,,,,1,2,2,4
0000000000008823241,"Habitación en Sant Cugat del Vallès, España",Habitación,Habitación,Barcelona,,Sant Cugat del Valls,55,40,48,,,2,1,4,
0000000000017690720,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,450,,450,4.81,242,2,1,4,6
1116456100784807861,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,,,4.75,4,1,1,1,
0882976817180362322,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,120,90,105,,,1,1,1,
0637021355969078948,"Habitación en Santa Coloma de Gramenet, España",Habitación,Habitación,Barcelona,,Santa Coloma de Gramenet,50,50,50,4.0,4,1,1,1,
0000000000050316594,"Alojamiento entero: apto. residencial en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.65,109,2,1,3,4
0989231356412162574,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,90,90,4.4,5,1,1,1,2
1135395374911481422,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,393,268,330,,,1,1,1,4
0841171281732086515,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,454,338,396,4.47,15,2,1,3,5
0000000000008687504,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,250,250,250,4.75,40,2,1,5,6
0928179921967381572,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,,,4.67,15,1,1,1,
0000000000018788457,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,,,4.83,110,1,1,,
0000000000040538318,"Habitación privada en: hostal en Barcelona, España",Habitación privada en,Habitación,Barcelona,,Barcelona,190,174,182,3.8,5,1,1,2,2
0845555464258470176,"Habitación en Montmeló, España",Habitación,Habitación,Barcelona,,Montmel,50,50,50,5.0,3,1,1,1,
1060396337513548269,"Alojamiento entero: piso en L'Hospitalet de Llobregat, España",Alojamiento entero,Alojamiento,Barcelona,,LHospitalet de Llobregat,305,310,308,5.0,3,1,1,1,2
0000000000002376434,"Alojamiento entero: adosado en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.67,401,2,1,4,4
0620633877155596852,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,445,330,388,4.61,28,2,1,2,4
1108733661556427338,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,150,150,150,,1,2,2,,3
0000000000031346422,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.74,218,1,1,,2
0000000000020538428,"Habitación en Sant Adrià de Besòs, España",Habitación,Habitación,Barcelona,,Sant Adri de Bess,124,105,114,,,2,1,2,
0658471450009412810,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,,2,2,1,,3
0676695884421789255,,,nan,Barcelona,,,375,,375,,,,1,,
0000000000031482730,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.74,27,1,1,3,3
0000000000034957866,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.81,224,2,1,4,4
0000000000046366621,"Alojamiento entero: apartamento con servicios en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,248,249,248,4.74,442,1,1,1,2
0000000000004922877,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.62,215,2,1,2,4
1061490653718744976,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,310,310,,1,1,1,,4
0691679958810855386,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,75,55,65,4.75,52,1,1,,
0862986225502778713,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,45,45,45,,,1,1,,
1093961898025756222,"Alojamiento entero: vivienda en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,190,180,185,4.2,5,2,1,3,4
0000000000033730111,"Alojamiento entero: piso en Santa Coloma de Gramenet, España",Alojamiento entero,Alojamiento,Barcelona,,Santa Coloma de Gramenet,189,199,194,4.7,201,2,1,2,2
0969512697521833374,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,369,,369,5.0,6,3,2,3,5
0817857629061236817,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.13,30,4,2,5,7
0000000000042890622,"Habitación en hotel en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,,,4.86,37,1,1,1,2
1104352817195805142,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,79,79,79,,,1,1,1,
0000000000014592933,"Habitación en L'Hospitalet de Llobregat, España",Habitación,Habitación,Barcelona,,LHospitalet de Llobregat,70,70,70,4.83,78,1,1,1,
0799080192649946305,"Habitación privada en: casa de invitados en Barcelona, España",Habitación privada en,Habitación,Barcelona,,Barcelona,,,,,,1,1,1,2
0000000000027823920,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,250,,250,,,1,1,2,3
0000000000000477256,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,,,4.65,293,1,1,,
0578903475066562396,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.7,10,1,1,1,1
0836756629196509012,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,,,4.94,17,1,1,,
0000000000032096193,"Alojamiento entero en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.81,31,1,5,,2
0000000000003505203,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,,,1,1,1,2
0947485255857636033,"Habitación en Badalona, España",Habitación,Habitación,Barcelona,,Badalona,,,,,,1,1,,
0000000000004090521,"Alojamiento entero: piso en Barcelone, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelone,365,426,396,4.62,117,2,1,4,3
0976789941198437507,"Habitación privada en: apto. residencial en L'Hospitalet de Llobregat, España",Habitación privada en,Habitación,Barcelona,,LHospitalet de Llobregat,43,41,42,4.53,32,1,1,1,1
0775858478065422112,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,480,500,490,,,3,2,,5
1030869986757871838,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,60,60,,1,1,1,,
0000000000001100121,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,,,1,1,1,2
0000000000001322489,"Alojamiento entero: piso en Hospitalet de Llobregat, España",Alojamiento entero,Alojamiento,Barcelona,,Hospitalet de Llobregat,,,,,,1,1,1,2
0898276757093957812,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,396,542,469,,1,2,2,2,4
0000000000013270342,,,nan,Barcelona,,,,,,,,,1,,
0000000000051954538,"Habitación en Abrera, España",Habitación,Habitación,Barcelona,,Abrera,,,,,,1,1,2,
0000000000002494484,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.76,421,2,2,3,4
0000000000018338221,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,265,265,4.66,140,3,2,6,6
0000000000032118599,,,nan,Barcelona,,,460,388,424,,,,1,,
1115849442967085990,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,,,,2,1,1,1,
0000000000052627366,"Alojamiento entero: apartamento con servicios en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,447,492,470,4.76,658,2,1,3,4
0000000000036346072,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,43,43,43,4.26,126,1,1,1,
0000000000045348838,"Habitación en Badalona, España",Habitación,Habitación,Barcelona,,Badalona,,90,90,,,1,1,1,
1147585839545283396,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,100,100,100,,,1,1,1,
1120791125729506189,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,322,372,347,,,1,1,1,2
0000000000006855516,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,205,225,215,4.82,283,2,1,3,4
0000000000046524035,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,428,428,4.06,33,2,1,4,5
0000000000002557934,"Alojamiento entero: loft en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.87,359,1,5,2,3
0557929113555451434,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,50,50,4.75,195,1,1,1,
0000000000000075411,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,200,185,192,4.43,97,3,1,4,6
0000000000025122279,"Habitación en apartahotel en Gracia-Barcelona, España",Habitación,Habitación,Barcelona,,GraciaBarcelona,,,,4.79,482,1,1,1,2
0000000000002369067,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,250,250,,,3,1,4,5
0642377034207410945,"Habitación privada en: apartamento con servicios en Santa Coloma de Gramenet, España",Habitación privada en,Habitación,Barcelona,,Santa Coloma de Gramenet,48,48,48,4.44,36,1,1,1,2
0000000000013138074,"Alojamiento entero: cabaña en Vacarisses, España",Alojamiento entero,Alojamiento,Barcelona,,Vacarisses,,,,4.79,28,1,1,1,2
0000000000000206167,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,,,1,1,1,2
0000000000020812821,,,nan,Barcelona,,,180,123,152,,,,1,,
0000000000011248398,"Alojamiento entero: apto. residencial en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,,,1,1,2,4
0000000000005399718,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,185,185,4.85,46,1,1,3,4
0000000000022188577,"Alojamiento entero: piso en Canet de Mar, España",Alojamiento entero,Alojamiento,Barcelona,,Canet de Mar,,,,4.7,70,3,1,5,6
0000000000002077178,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,233,233,,,2,1,4,5
0000000000014765045,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,199,199,4.81,52,3,5,4,7
0861407949300458532,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,129,85,107,4.56,25,1,1,1,
0000000000043888224,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,,,2,1,3,4
0998953069837068033,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,180,150,165,,,1,1,1,2
0000000000005595771,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.63,378,1,1,1,2
0000000000039691518,"Alojamiento entero: apartamento con servicios en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,326,359,342,4.8,265,1,1,2,4
0000000000021464686,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,440,440,440,4.79,85,2,1,3,4
1128581032044277155,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,500,500,500,,1,2,1,3,5
0680650821990830014,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.79,66,4,5,7,8
0905531607109157699,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,,,2,2,2,4
0896294495207486549,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,,,,,1,1,1,
0000000000007852092,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,220,150,185,4.78,249,2,5,2,4
0000000000045955324,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.7,76,1,1,2,2
0000000000029515056,"Alojamiento entero: piso en L'Hospitalet de Llobregat, España",Alojamiento entero,Alojamiento,Barcelona,,LHospitalet de Llobregat,,,,4.65,162,2,2,3,6
0000000000005769043,"Alojamiento entero: apto. residencial en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,,,1,2,2,4
1136009511127281059,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,,,,,1,1,1,
0000000000000744153,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.78,591,1,1,1,2
1117895851047418372,"Habitación en Monistrol de Montserrat, España",Habitación,Habitación,Barcelona,,Monistrol de Montserrat,,,,5.0,4,1,1,,
1103666823336646671,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,311,253,282,4.86,7,2,1,3,5
1081861760110023651,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,40,40,40,,,1,1,,
0622091179379166142,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.92,86,2,1,,4
0000000000015848466,"Habitación privada en: casa de invitados en Pallejà, España",Habitación privada en,Habitación,Barcelona,,Pallej,,,,4.81,494,1,1,3,4
0000000000051852510,,,nan,Barcelona,,,,,,,,,1,,
0000000000017151406,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,327,259,293,4.53,174,1,1,1,2
0000000000014261865,"Habitación privada en: piso en Barcelona, España",Habitación privada en,Habitación,Barcelona,,Barcelona,153,,153,5.0,5,1,1,,2
0000000000008097151,"Alojamiento entero: adosado en La Garriga, España",Alojamiento entero,Alojamiento,Barcelona,,La Garriga,,,,,,2,2,3,4
1091434033284940620,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,,,,,1,1,,
0000000000006549890,"Alojamiento entero: loft en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,,,1,1,1,2
0000000000022881017,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,,,3,1,,5
0000000000052360100,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,370,410,390,4.8,30,2,2,2,4
1121602208095814970,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,,,3,2,4,5
0000000000044096958,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,179,169,174,4.59,100,2,1,2,4
0912205668333715252,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,,,5.0,3,1,1,,
1017518225094139976,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,41,38,40,,1,1,1,1,
