ID,Título,Tipología,Ciudad,Localización,Precio,Valoración,Numero valoraciones,Baños,Camas,Viajeros máximos,Año,Plataforma
00000000000012940998,Alojamiento entero,Alojamiento,Mallorca,"3.981.424.305.244.890,3.022.846.858.676.940",127,,,3,5,6,2018,White Hosting
00000000000004518901,Alojamiento entero,Alojamiento,Madrid,"4.042.092.399.948.130,-3.709.205.016.587.050",55,4.65,,1,0,2,2018,White Hosting
00000000000022634035,Alojamiento entero,Alojamiento,Girona,"4.196.901,320.629",222,,,1,3,4,2020,White Hosting
00000000000011598588,Alojamiento entero,Alojamiento,Madrid,"4.045.665.883.448.240,-3.626.350.410.321.860",60,4.800000000000001,,1,2,4,2017,White Hosting
00000000000013818564,Habitación privada,Habitación,Madrid,"404.201.749.851.276,-370.014.295.759.372",25,4.800000000000001,,4,2,2,2018,White Hosting
00000000000001617393,Alojamiento entero,Alojamiento,Madrid,"4.042.404.011.357.090,-3.711.032.994.281.570",135,3.0,,3,2,4,2017,White Hosting
00000000000017968171,Alojamiento entero,Alojamiento,Madrid,"4.041.987,-370.373",51,4.65,,1,1,2,2021,White Hosting
00000000000014405216,Alojamiento entero,Alojamiento,Malaga,"3.672.243,-436.746",55,4.75,,1,3,4,2020,White Hosting
00000000000026058907,Habitación privada,Habitación,,"4.142.949,216.795",50,4.800000000000001,,1,1,2,2020,White Hosting
00000000000022312525,Alojamiento entero,Alojamiento,Madrid,"4.041.109,-370.232",25,4.2,,1,1,2,2020,White Hosting
00000000000014408217,Alojamiento entero,Alojamiento,Mallorca,"3.977.485,272.606",435,5.0,,3,8,9,2020,White Hosting
00000000000043352586,Habitación privada,Habitación,Sevilla,"3.738.576,-598.679",23,5.0,,1,1,1,2021,White Hosting
00000000000003233342,Habitación privada,Habitación,Sevilla,"3.739.676,-599.415",35,4.75,,2,1,2,2020,White Hosting
00000000000013157971,Alojamiento entero,Alojamiento,Barcelona,"4.137.384.246.746.560,2.161.514.198.077.970",50,4.7,,1,3,4,2018,White Hosting
