ID,Lista Amenities
1141769657254809937,"['Secador de pelo', 'Productos de limpieza', 'Champú', 'Gel de ducha', 'Agua caliente', 'Lavadora', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'Caja fuerte', 'Espacio para guardar la ropa', 'TV', 'Aire acondicionado', 'Calefacción', 'Cámaras de seguridad en los exteriores de la propiedadEn las zonas comunes del edificio hay cámaras de seguridad.', 'Wifi', 'Zona para trabajar', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Frigorífico mini', 'Congelador', 'Lavavajillas', 'Fogón', 'Horno', 'Hervidor de agua', 'Cafetera', 'Copas de vino', 'Tostadora', 'Batidora', 'Mesa de comedor', 'Café', 'Lavandería cercana', 'Llegada autónoma', 'Caja de seguridad para llaves', 'No disponible: SecadoraSecadora', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.']"
20747965,"['Vistas al perfil urbano', 'Secador de pelo', 'Agua caliente', 'Lavadora', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Plancha', 'TV', 'Cuna', 'Parque/cunas de viaje', 'Libros y juguetes para niños', 'Bañera para bebés', 'Mesa para cambiar pañales', 'Sistema de aire acondicionado sin conductos tipo split', 'Calefacción', 'Wifi', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Fogón', 'Horno', 'Cafetera', 'Patio o balcón (privada)', 'Aparcamiento gratuito en la calle', 'AscensorEl alojamiento o edificio dispone de un ascensor de al menos 132\xa0centímetros de profundidad cuya puerta mide como mínimo 81\xa0centímetros de ancho.', 'Disponible para estancias largasPermite estancias de 28 días o más', 'Limpieza disponible durante la estancia', 'Recepción por parte del anfitrión', 'No disponible: SecadoraSecadora', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.']"
1007818095530221687,"['Vistas al perfil urbano', 'Secador de pelo', 'Productos de limpieza', 'Champú', 'Gel de ducha', 'Agua caliente', 'Lavadora', 'Perchas', 'Ropa de cama', 'Persianas o cortinas opacas', 'Plancha', 'Mosquitera', 'TV', 'Wifi', 'Zona para trabajar', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Horno doble de acero inoxidable', 'Cafetera: Nespresso', 'Mesa de comedor', 'AscensorEl alojamiento o edificio dispone de un ascensor de al menos 132\xa0centímetros de profundidad cuya puerta mide como mínimo 81\xa0centímetros de ancho.', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedad', 'No disponible: SecadoraSecadora', 'No disponible: Aire acondicionadoAire acondicionado', 'No disponible: Servicios básicosServicios básicos', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: CalefacciónCalefacción']"
4216011,"['Vistas al perfil urbano', 'Secador de pelo', 'Champú', 'Gel de ducha', 'Agua caliente', 'Gel de ducha', 'Lavadora en el alojamiento (Gratis)', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Plancha', 'Televisión de alta definición de 40\xa0pulgadas con televisión por cable estándar', 'Cuna: disponible previa solicitud', 'Parque/cunas de viaje: disponible previa solicitud', 'Libros y juguetes para niños', 'Trona', 'Platos y cubiertos para niños', 'Juegos de mesa', 'Aire acondicionado centralizado', 'Calefacción', 'Detector de humo', 'Detector de monóxido de carbono', 'Extintor de incendios', 'Botiquín', 'Wifi', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Frigorífico mini', 'Cocina de inducción', 'Hervidor de agua', 'Cafetera: Nespresso', 'Copas de vino', 'Mesa de comedor', 'Lavandería cercana', 'Patio o balcón (privada)', 'Patio traseroUn espacio abierto en la propiedad generalmente cubierto de césped', 'Aparcamiento de pago en garaje fuera de la propiedad', 'Disponible para estancias largasPermite estancias de 28 días o más', 'Llegada autónoma', 'Cerradura con tecladoAccede al alojamiento por tu cuenta con el código de acceso', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedad', 'No disponible: SecadoraSecadora']"
957097411703591681,"['Secador de pelo', 'Productos de limpieza', 'Champú', 'Acondicionador', 'Gel de ducha', 'Agua caliente', 'Lavadora', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'Espacio para guardar la ropa', 'TV', 'Ventilador de techo', 'Botiquín', 'Wifi', 'Zona para trabajar', 'CocinaCocina disponible para el uso de los huéspedes', 'Lavavajillas', 'Mesa de comedor', 'Comedor al aire libre', 'Tumbonas', 'Limpieza disponible durante la estancia', 'Recepción por parte del anfitrión', 'No disponible: Cerradura en la puerta del dormitorioCerradura en la puerta del dormitorioLa puerta del dormitorio no tiene cerradura.', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedad', 'No disponible: SecadoraSecadora', 'No disponible: Aire acondicionadoAire acondicionado', 'No disponible: Servicios básicosServicios básicos', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: CalefacciónCalefacción']"
1145727497712067411,"['Secador de pelo', 'Productos de limpieza', 'Champú', 'Gel de ducha', 'Agua caliente', 'Lavadora', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'Caja fuerte', 'Espacio para guardar la ropa', 'TV', 'Aire acondicionado', 'Calefacción', 'Cámaras de seguridad en los exteriores de la propiedadEn las zonas comunes del edificio hay cámaras de seguridad.', 'Wifi', 'Zona para trabajar', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Congelador', 'Lavavajillas', 'Fogón', 'Horno', 'Hervidor de agua', 'Cafetera', 'Copas de vino', 'Tostadora', 'Batidora', 'Mesa de comedor', 'Café', 'Lavandería cercana', 'Llegada autónoma', 'Caja de seguridad para llaves', 'No disponible: SecadoraSecadora', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.']"
772115984228382656,"['Secador de pelo', 'Productos de limpieza', 'Champú', 'Acondicionador', 'Gel de ducha', 'Bidé', 'Agua caliente', 'Gel de ducha', 'Lavadora', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'Mosquitera', 'Espacio para guardar la ropa', 'Libros y material de lectura', 'Seguros para ventanas', 'Sistema de aire acondicionado sin conductos tipo split', 'Calefacción', 'Cerradura en la puerta del dormitorio', 'Detector de monóxido de carbono', 'Extintor de incendios', 'Botiquín', 'Wifi', 'Zona para trabajarEn una habitación con puerta', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Congelador', 'Lavavajillas', 'Cocina de gas de acero inoxidable', 'Horno', 'Hervidor de agua', 'Cafetera', 'Copas de vino', 'Tostadora', 'Bandeja de repostería', 'Batidora', 'Mesa de comedor', 'Café', 'Lavandería cercana', 'Elementos básicos para la playaToallas de playa, sombrilla, esterilla, equipo de snorkel', 'Aparcamiento gratuito en las instalaciones', 'Aparcamiento gratuito en la calle', 'Aparcamiento de pago fuera de las instalaciones', 'DesayunoDesayuno incluido', 'Recepción por parte del anfitrión', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedad', 'No disponible: TVTV', 'No disponible: SecadoraSecadora', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.']"
1112367303979109669,"['Agua caliente', 'Lavadora', 'Ropa de cama', 'Espacio para guardar la ropa', 'Cerradura en la puerta del dormitorio', 'Wifi', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Hervidor de agua', 'Mesa de comedor', 'Lavandería cercana', 'Patio o balcón', 'Aparcamiento gratuito en la calle', 'Admite mascotasLos animales de asistencia siempre están permitidos', 'Se permite dejar el equipajeOpción de llegar pronto o salir tarde para la comodidad de los huéspedes', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedad', 'No disponible: TVTV', 'No disponible: SecadoraSecadora', 'No disponible: Aire acondicionadoAire acondicionado', 'No disponible: Servicios básicosServicios básicos', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: CalefacciónCalefacción']"
31461233,"['Secador de pelo', 'Productos de limpieza', 'Champú', 'Agua caliente', 'Lavadora', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Conexión Ethernet', 'TV', 'Aire acondicionado', 'Calefacción', 'Botiquín', 'Wifi', 'Zona para trabajar', 'Wifi móvil', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Congelador', 'Lavavajillas', 'Fogón', 'Horno', 'Cafetera', 'Copas de vino', 'Bandeja de repostería', 'Arrocera', 'Café', 'CostaJusto al lado de una masa de agua', 'Entrada independienteEntrada por otra calle o edificio', 'Lavandería cercana', 'Patio o balcón', 'Aparcamiento gratuito en las instalaciones', 'Aparcamiento gratuito en la calle', 'AscensorEl alojamiento o edificio dispone de un ascensor de al menos 132\xa0centímetros de profundidad cuya puerta mide como mínimo 81\xa0centímetros de ancho.', 'Aparcamiento de pago fuera de las instalaciones', 'Admite mascotasLos animales de asistencia siempre están permitidos', 'Se permite dejar el equipajeOpción de llegar pronto o salir tarde para la comodidad de los huéspedes', 'DesayunoDesayuno incluido', 'Apto para fumadores', 'Recepción por parte del anfitrión', 'No disponible: Cerradura en la puerta del dormitorioCerradura en la puerta del dormitorioLa puerta del dormitorio no tiene cerradura.', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedad', 'No disponible: SecadoraSecadora', 'No disponible: Detector de humoDetector de humoNo hay detector de humo en la propiedad.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoNo hay detector de monóxido de carbono en la propiedad.']"
44516653,"['Vistas al canal', 'Vistas al puerto', 'Vistas al mar', 'Vistas a la piscina', 'Vistas al mar', 'Vistas a la playa', 'Vistas al jardín', 'Vistas al lago', 'Bañera', 'Secador de pelo', 'Productos de limpieza', 'Champú', 'Gel de ducha', 'Bidé', 'Ducha exterior', 'Agua caliente', 'Gel de ducha', 'Lavadora en el alojamiento (Gratis)', 'Secadora en el alojamiento (Gratis)', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de camaRopa de cama de versace, pierre cardin, canal , burbery', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'Espacio para guardar la ropa', 'Conexión Ethernet', 'Televisión de alta definición de 65\xa0pulgadas con televisión por cable estándar, Amazon Prime Video, Apple\xa0TV, Chromecast, Disney+, Fire\xa0TV, HBO\xa0Max, Hulu, Netflix, Roku, canales por cable premium', 'Sistema de sonido con bluetooth y entrada auxiliar de bosse', 'Videoconsola', 'Seguros para ventanas', 'Protectores de enchufes', 'Aire acondicionado centralizado', 'Calefacción central', 'Extintor de incendios', 'Wifi rápido (206\xa0Mbps)Se ha verificado con una prueba de velocidad. Reproduce vídeos en 4K y participa en videollamadas desde varios dispositivos.', 'Zona para trabajarEn una zona común', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Congelador', 'Lavavajillas', 'Cocina de inducción de Teka', 'Hervidor de agua', 'Cafetera', 'Copas de vino', 'Tostadora', 'Bandeja de repostería', 'Batidora', 'Compactador de residuos', 'Utensilios de barbacoaParrilla, carbón, brochetas de bambú/hierro, etc.', 'Mesa de comedor', 'Café', 'Panificadora', 'CostaJusto al lado de una masa de agua', 'Acceso a la playa, primera líneaLos huéspedes pueden disfrutar de una playa cercana', 'Entrada independienteEntrada por otra calle o edificio', 'Acceso al resortLos huéspedes pueden utilizar las instalaciones de un resort cercano', 'Patio o balcón (privada)', 'Mobiliario exterior', 'Comedor al aire libre', 'Barbacoa: de gas', 'Elementos básicos para la playaToallas de playa, sombrilla, esterilla, equipo de snorkel', 'Tumbonas', 'Aparcamiento gratuito en garaje en la propiedad: 1\xa0plaza', 'Aparcamiento gratuito en la calle', 'Piscina: uso De uso compartido, Exterior, disponible según la temporada, disponible en un horario específico, piscina para nadardisponible de jun a sept, de 11:00 a 20:30', 'AscensorEl alojamiento o edificio dispone de un ascensor de al menos 132\xa0centímetros de profundidad cuya puerta mide como mínimo 81\xa0centímetros de ancho.', 'Aparcamiento de pago en garaje en la propiedad: 1\xa0plaza', 'Disponible para estancias largasPermite estancias de 28 días o más', 'Limpieza disponible durante la estancia', 'Recepción por parte del anfitrión', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.']"
