ID,Tipo de habitación,Título,Tipología,Ciudad,Localización,Municipio,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
00986114969657178196,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.365,-5.8606",Asturias,,65,65,,,3,1,3,6
01112133566877581196,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.540906,-5.666814",Asturias,66,54,60,4.8,5,1,1,1,2
00856233518370540298,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3566,-5.9193",Asturias,,272,272,4.15,13,4,1,4,8
00000000000043954345,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53135,-5.66734",Asturias,,94,94,,,2,1,3,4
00000000000033306433,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3664,-5.8372",Asturias,125,70,98,4.85,187,1,1,1,4
00686277507083875157,Habitación,Habitación,Habitación,Asturias,"43.367292,-5.855158",Asturias,,52,52,,,1,1,1,
00966523196161144911,Habitación,Habitación,Habitación,Asturias,"43.534732,-5.669167",Asturias,42,42,42,4.56,9,1,1,1,2
01068643258004683084,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.34858,-5.96841",Asturias,109,69,89,,1,1,1,,4
00979529556798305217,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.356,-5.8542",Asturias,,,,4.42,26,1,1,1,2
00705717517579189198,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.54055,-5.69261",Asturias,,120,120,,,2,1,3,4
00841016508928352658,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53857,-5.68299",Asturias,255,74,164,4.73,30,2,1,4,6
00000000000014586336,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.30122,-5.88437",Asturias,,150,150,5.0,16,2,1,4,4
00000000000024574377,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.41658,-5.37575",Asturias,,67,67,4.67,58,1,1,2,3
00000000000016786667,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.36075,-5.84294",Asturias,,70,70,,,1,1,2,4
00000000000045451603,Habitación,Habitación,Habitación,Asturias,"43.53945,-5.70389",Asturias,35,,35,4.8,15,1,1,1,
00000000000026062331,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53255,-5.66673",Asturias,,65,65,4.83,96,2,1,3,5
00872216711928869752,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5398,-5.6533",Asturias,,110,110,,,2,1,2,4
00871573328712360449,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5786,-5.7575",Asturias,,103,103,5.0,3,2,1,2,4
00000000000049300932,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53505,-5.62329",Asturias,,,,4.93,15,1,1,1,2
00886735172376029045,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.544191,-5.664572",Asturias,,84,84,,,1,1,1,2
00000000000050236674,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53053,-5.6687",Asturias,,88,88,,,3,1,4,6
00000000000014164777,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3689,-5.8193",Asturias,60,47,54,4.82,237,1,1,3,4
00637518857678776903,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.52605,-5.64485",Asturias,,,,4.5,8,1,1,,2
00975871494702994999,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.534671,-5.665894",Asturias,,95,95,5.0,3,3,1,5,6
00000000000042581414,Habitación,Habitación,Habitación,Asturias,"43.5154,-5.6104",Asturias,118,,118,5.0,7,1,1,2,2
00876504746282513824,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5407,-5.6833",Asturias,275,72,174,4.77,31,2,1,3,4
00635163945756853127,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.36784,-5.85001",Asturias,100,98,99,4.68,31,1,1,1,2
