,ID,Tipo de habitación,Título,Tipología,Ciudad,Localización,Municipio,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos,Distancia a PI
33,605525788298538912,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.38016,-3.69455",Madrid,,,,4.83,6.0,1.0,1,1.0,2.0,4.159
34,42046394,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.39966,-3.69738",Madrid,110.0,110.0,110.0,4.62,97.0,2.0,1,2.0,4.0,1.99
35,1111012125955288180,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.388,-3.69302",Madrid,82.0,82.0,82.0,4.67,3.0,1.0,1,,4.0,3.338
36,657011539776416329,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.3947,-3.6251",Madrid,45.0,42.0,44.0,,,1.0,1,1.0,,7.086
37,30106610,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.39939,-3.70018",Madrid,103.0,103.0,103.0,4.51,219.0,1.0,1,1.0,2.0,1.971
38,1055840293109364339,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4035,-3.6072",Madrid,130.0,99.0,114.0,,,1.0,1,2.0,4.0,8.292
39,1096244063292543276,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.455184,-3.680399",Madrid,,270.0,270.0,,,2.0,2,,4.0,4.683
40,641117277482958729,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.3843,-3.72754",Madrid,43.0,43.0,43.0,,,1.0,1,,,4.159
41,817259230117760076,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.458351,-3.70369",Madrid,,,,4.62,52.0,1.0,1,1.0,,4.606
42,604348883039432781,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.41704,-3.67763",Madrid,37.0,37.0,37.0,4.65,131.0,1.0,1,1.0,,2.193
43,702899531238316734,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.45997,-3.58883",Madrid,48.0,48.0,48.0,,,1.0,1,1.0,,10.823
44,1105985965012512388,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.376298,-3.743612",Madrid,,,,,,1.0,1,,4.0,5.651
45,813745079215519928,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.474532,-3.584479",Madrid,93.0,,93.0,5.0,4.0,2.0,1,3.0,6.0,11.938
46,35439773,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.38773,-3.72278",Madrid,26.0,,26.0,4.83,82.0,1.0,1,,,3.633
47,1135370377106681453,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.397975,-3.703063",Madrid,,,,,,1.0,1,,2.0,2.108
48,923786084829682484,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4551,-3.7011",Madrid,160.0,281.0,220.0,,,2.0,2,3.0,4.0,4.25
49,648589218564035261,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.43517,-3.7133",Madrid,152.0,,152.0,4.66,56.0,2.0,2,3.0,5.0,2.19
50,711640813337635635,"Habitación en Torrejón de Ardoz, España",Habitación,Habitación,Madrid,"40.45531,-3.44685",Torrejn de Ardoz,35.0,35.0,35.0,,,1.0,1,1.0,,22.139
51,682313313341411150,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.3978,-3.6992",Madrid,55.0,55.0,55.0,,,1.0,1,1.0,,2.158
